timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-04-25T00:00:00.000Z";"2024-04-25T23:59:59.999Z";"2024-04-25T00:47:00.000Z";"2024-04-25T13:22:00.000Z";"2781";147.7496128343;149.3037534908;142.2645693984;144.8921247704;3674969171.63;64788385180.06;"2024-04-25T23:59:59.999Z"
"2024-04-24T00:00:00.000Z";"2024-04-24T23:59:59.999Z";"2024-04-24T12:11:00.000Z";"2024-04-24T23:04:00.000Z";"2781";154.7013049554;159.5809054368;145.7705760343;147.7451445379;3932336720.07;66048269189.89;"2024-04-24T23:59:59.999Z"
"2024-04-23T00:00:00.000Z";"2024-04-23T23:59:59.999Z";"2024-04-23T17:47:00.000Z";"2024-04-23T07:38:00.000Z";"2781";157.0312257577;159.9445999575;153.3231176246;154.7013049554;2750685937.01;69159022995.56;"2024-04-23T23:59:59.999Z"
"2024-04-22T00:00:00.000Z";"2024-04-22T23:59:59.999Z";"2024-04-22T22:59:00.000Z";"2024-04-22T02:28:00.000Z";"2781";148.6093127546;158.3727065839;146.9916954396;157.0312257577;2959650502.38;70180765530.1;"2024-04-22T23:59:59.999Z"
"2024-04-21T00:00:00.000Z";"2024-04-21T23:59:59.999Z";"2024-04-21T03:13:00.000Z";"2024-04-21T16:42:00.000Z";"2781";151.1340836942;153.4222541075;147.1695198231;148.6093127546;2211663290.99;66417713293.19;"2024-04-21T23:59:59.999Z"
"2024-04-20T00:00:00.000Z";"2024-04-20T23:59:59.999Z";"2024-04-20T20:15:00.000Z";"2024-04-20T01:07:00.000Z";"2781";142.6784587894;152.099184143;140.0057102162;151.1335642137;2795892210.62;67528361463.63;"2024-04-20T23:59:59.999Z"
"2024-04-19T00:00:00.000Z";"2024-04-19T23:59:59.999Z";"2024-04-19T16:07:00.000Z";"2024-04-19T02:49:00.000Z";"2781";142.082397019;147.3337850501;128.8628308156;142.6804960383;5857667913.45;63751797974.9;"2024-04-19T23:59:59.999Z"
"2024-04-18T00:00:00.000Z";"2024-04-18T23:59:59.999Z";"2024-04-18T23:19:00.000Z";"2024-04-18T08:24:00.000Z";"2781";131.8671775095;143.7273608677;128.0767586523;142.082397019;4193561506.2;63485357601.24;"2024-04-18T23:59:59.999Z"
"2024-04-17T00:00:00.000Z";"2024-04-17T23:59:59.999Z";"2024-04-17T04:59:00.000Z";"2024-04-17T16:08:00.000Z";"2781";136.2791068591;142.6043900742;127.5289524047;131.8661773899;4888546522.48;58905554117.05;"2024-04-17T23:59:59.999Z"
"2024-04-16T00:00:00.000Z";"2024-04-16T23:59:59.999Z";"2024-04-16T01:36:00.000Z";"2024-04-16T16:23:00.000Z";"2781";138.5075688969;140.2783086126;126.8652810948;136.2793233476;5156084639.15;60879101842.83;"2024-04-16T23:59:59.999Z"
"2024-04-15T00:00:00.000Z";"2024-04-15T23:59:59.999Z";"2024-04-15T06:43:00.000Z";"2024-04-15T19:07:00.000Z";"2781";151.2994342421;155.9611649226;134.5725537286;138.5086276801;5699439233.75;61857236412.61;"2024-04-15T23:59:59.999Z"
"2024-04-14T00:00:00.000Z";"2024-04-14T23:59:59.999Z";"2024-04-14T23:22:00.000Z";"2024-04-14T03:16:00.000Z";"2781";139.3416872595;152.5010114495;131.2871726324;151.2849466411;7110974217.55;67565919330.09;"2024-04-14T23:59:59.999Z"
"2024-04-13T00:00:00.000Z";"2024-04-13T23:59:59.999Z";"2024-04-13T05:25:00.000Z";"2024-04-13T20:10:00.000Z";"2781";153.6344829001;154.9439562636;119.8333403765;139.3416872595;8976793984.58;62209618029.83;"2024-04-13T23:59:59.999Z"
"2024-04-12T00:00:00.000Z";"2024-04-12T23:59:59.999Z";"2024-04-12T06:04:00.000Z";"2024-04-12T18:37:00.000Z";"2781";172.576364761;175.8086349085;145.5163828498;153.6354718515;4727185450.57;68514901386.09;"2024-04-12T23:59:59.999Z"
"2024-04-11T00:00:00.000Z";"2024-04-11T23:59:59.999Z";"2024-04-11T18:43:00.000Z";"2024-04-11T11:59:00.000Z";"2781";173.4373601875;176.2355200022;170.3934260039;172.576364761;2712334365.08;76942708222.38;"2024-04-11T23:59:59.999Z"
"2024-04-10T00:00:00.000Z";"2024-04-10T23:59:59.999Z";"2024-04-10T22:38:00.000Z";"2024-04-10T12:41:00.000Z";"2781";172.4142648319;175.3226119742;163.8131318533;173.4373601875;3344074648.23;77297959814.53;"2024-04-10T23:59:59.999Z"
